Id,Name,Usage,Disease,Disease ID,In a panel,Evidence level,Type,Source,Source ID,Assay/Test,Pmid,Molecular type,Molecular ID,Treatment
1203,Serpina 1,DiagnosticBM,Pre-eclampsia,http://purl.obolibrary.org/obo/DOID_10591,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry,18984079,Protein,C5J0G2,
1204,Serum albumin,DiagnosticBM,Pre-eclampsia,http://purl.obolibrary.org/obo/DOID_10591,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry,18984079,Protein,P02768,
1205,Placenta growth factor,DiagnosticBM,Pre-eclampsia,http://purl.obolibrary.org/obo/DOID_10591,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),19943826,Protein,P49763,
1206,Endoglin,DiagnosticBM,Pre-eclampsia,http://purl.obolibrary.org/obo/DOID_10591,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),19943826,Protein,P17813,
1207,Vascular endothelial growth factor receptor 1,DiagnosticBM,Pre-eclampsia,http://purl.obolibrary.org/obo/DOID_10591,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),19943826,Protein,P17948,
1208,Alpha-1-acid glycoprotein 1|Alpha-1-acid glycoprotein 2|Alpha-1-acid glycoprotein 1|Alpha-1-acid glycoprotein 2,DiagnosticBM,Pre-eclampsia,http://purl.obolibrary.org/obo/DOID_10591,No,,Molecular Biomarker,Urine,UBERON_0001088,Immunoassay,20392509,Protein,P02763|P19652|P02763|P19652,
1209,Transforming growth factor-beta-induced protein ig-h3,DiagnosticBM,Pre-eclampsia,http://purl.obolibrary.org/obo/DOID_10591,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),22301621,Protein,Q15582,
1210,Nephrin,DiagnosticBM,Pre-eclampsia,http://purl.obolibrary.org/obo/DOID_10591,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),22301621,Protein,O60500,
1211,Podocalyxin,DiagnosticBM,Pre-eclampsia,http://purl.obolibrary.org/obo/DOID_10591,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),22301621,Protein,O00592,
1212,Alpha-1-acid glycoprotein 1|Alpha-1-acid glycoprotein 2|Alpha-1-acid glycoprotein 1|Alpha-1-acid glycoprotein 2,DiagnosticBM,Pre-eclampsia,http://purl.obolibrary.org/obo/DOID_10591,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),17653877,Protein,P02763|P19652|P02763|P19652,
1213,Isoform 1 of Putative tropomyosin alpha-3 chain-like protein,DiagnosticBM,Pregnant state,http://ns.ontoforce.com/datasets/icd10/Z33,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry|gel electrophoresis,24215720,Protein,,
1214,"CDNA FLJ26171 fis, clone ADG03656",DiagnosticBM,Pregnant state,http://ns.ontoforce.com/datasets/icd10/Z33,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry|gel electrophoresis,24215720,Protein,Q6ZPA4,
1215,"CDNA FLJ55606, highly similar to Alpha-2-HS-glycoprotein",DiagnosticBM,Pregnant state,http://ns.ontoforce.com/datasets/icd10/Z33,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry|gel electrophoresis,24215720,Protein,B7Z8Q2,
1216,Coiled-coil domain-containing protein 127,DiagnosticBM,Pregnant state,http://ns.ontoforce.com/datasets/icd10/Z33,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry|gel electrophoresis,24215720,Protein,P0C267,
1217,F-box only protein 41,DiagnosticBM,Pregnant state,http://ns.ontoforce.com/datasets/icd10/Z33,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry|gel electrophoresis,24215720,Protein,Q8TF61,
1218,High affinity copper uptake protein 1,DiagnosticBM,Pregnant state,http://ns.ontoforce.com/datasets/icd10/Z33,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry|gel electrophoresis,24215720,Protein,O15431,
1219,Insulin-like growth factor-binding protein-like 1,DiagnosticBM,Pregnant state,http://ns.ontoforce.com/datasets/icd10/Z33,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry|gel electrophoresis,24215720,Protein,Q8WX77,
1220,FERM domain-containing protein 5,DiagnosticBM,Pregnant state,http://ns.ontoforce.com/datasets/icd10/Z33,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry|gel electrophoresis,24215720,Protein,Q7Z6J6,
1221,Serum albumin,DiagnosticBM,Pregnant state,http://ns.ontoforce.com/datasets/icd10/Z33,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry|gel electrophoresis,24215720,Protein,P02768,
1222,Three-prime repair exonuclease 1,DiagnosticBM,Pregnant state,http://ns.ontoforce.com/datasets/icd10/Z33,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry|gel electrophoresis,24215720,Protein,Q9NSU2,
1223,Latent-transforming growth factor beta-binding protein 1,DiagnosticBM,Pregnant state,http://ns.ontoforce.com/datasets/icd10/Z33,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry|gel electrophoresis,24215720,Protein,Q14766,
1224,Kininogen-1,DiagnosticBM,Pregnant state,http://ns.ontoforce.com/datasets/icd10/Z33,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry|gel electrophoresis,24215720,Protein,P01042,
1225,Liver-expressed antimicrobial peptide 2,DiagnosticBM,Pregnant state,http://ns.ontoforce.com/datasets/icd10/Z33,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry|gel electrophoresis,24215720,Protein,Q969E1,
1226,Osteopontin,DiagnosticBM,Pregnant state,http://ns.ontoforce.com/datasets/icd10/Z33,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry|gel electrophoresis,24215720,Protein,P10451,
1227,SPARC-like protein 1,DiagnosticBM,Pregnant state,http://ns.ontoforce.com/datasets/icd10/Z33,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry|gel electrophoresis,24215720,Protein,Q14515,
1228,THAP domain-containing protein 2,DiagnosticBM,Pregnant state,http://ns.ontoforce.com/datasets/icd10/Z33,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry|gel electrophoresis,24215720,Protein,Q9H0W7,
1229,Leukocyte-associated immunoglobulin-like receptor 1,DiagnosticBM,Pregnant state,http://ns.ontoforce.com/datasets/icd10/Z33,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),23954474,Protein,Q6GTX8,
1230,Leukocyte-associated immunoglobulin-like receptor 2,DiagnosticBM,Pregnant state,http://ns.ontoforce.com/datasets/icd10/Z33,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),23954474,Protein,Q6ISS4,
1231,Beta-microseminoprotein,DiagnosticBM,Prostate disease,http://purl.obolibrary.org/obo/DOID_47,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry,24115268,Protein,P08118,
1232,3-oxo-5-alpha-steroid 4-dehydrogenase 2,DiagnosticBM,Prostate disease,http://purl.obolibrary.org/obo/DOID_47,No,,Molecular Biomarker,Urine,UBERON_0001088,Western blot|enzyme linked immunosorbent assay (ELISA),9381516,Protein,P31213,
1233,IgG,DiagnosticBM,Proteinuria,http://purl.obolibrary.org/obo/DOID_576,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),23539232,Protein,,
1234,Neprilysin,PredictiveBM,Proteinuria,http://purl.obolibrary.org/obo/DOID_576,No,,Molecular Biomarker,Urine,UBERON_0001088,Gel electrophoresis|mass spectrometry,12582004,Protein,P07861,Acute sodium loading
1235,Neutral and basic amino acid transport protein rBAT,PredictiveBM,Proteinuria,http://purl.obolibrary.org/obo/DOID_576,No,,Molecular Biomarker,Urine,UBERON_0001088,Gel electrophoresis|mass spectrometry,12582004,Protein,Q64319,Acute sodium loading
1236,Meprin A subunit alpha,PredictiveBM,Proteinuria,http://purl.obolibrary.org/obo/DOID_576,No,,Molecular Biomarker,Urine,UBERON_0001088,Gel electrophoresis|mass spectrometry,12582004,Protein,Q64230,Acute sodium loading
1237,Na(+)/H(+) exchange regulatory cofactor NHE-RF3,PredictiveBM,Proteinuria,http://purl.obolibrary.org/obo/DOID_576,No,,Molecular Biomarker,Urine,UBERON_0001088,Gel electrophoresis|mass spectrometry,12582004,Protein,Q9JJ40,Acute sodium loading
1238,V-type proton ATPase catalytic subunit A,PredictiveBM,Proteinuria,http://purl.obolibrary.org/obo/DOID_576,No,,Molecular Biomarker,Urine,UBERON_0001088,Gel electrophoresis|mass spectrometry,12582004,Protein,P50516,Acute sodium loading
1239,Serum albumin,PredictiveBM,Proteinuria,http://purl.obolibrary.org/obo/DOID_576,No,,Molecular Biomarker,Urine,UBERON_0001088,Gel electrophoresis|mass spectrometry|western blot,12582004,Protein,P02770,Acute sodium loading
1240,Na(+)/H(+) exchange regulatory cofactor NHE-RF1,PredictiveBM,Proteinuria,http://purl.obolibrary.org/obo/DOID_576,No,,Molecular Biomarker,Urine,UBERON_0001088,Gel electrophoresis,12582004,Protein,Q9JJ19,Acute sodium loading
1241,Glutamine synthetase,PredictiveBM,Proteinuria,http://purl.obolibrary.org/obo/DOID_576,No,,Molecular Biomarker,Urine,UBERON_0001088,Gel electrophoresis|mass spectrometry,12582004,Protein,P09606,Acute sodium loading
1242,Fumarylacetoacetase,PredictiveBM,Proteinuria,http://purl.obolibrary.org/obo/DOID_576,No,,Molecular Biomarker,Urine,UBERON_0001088,Gel electrophoresis|mass spectrometry,12582004,Protein,P25093,Acute sodium loading
1243,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1,PredictiveBM,Proteinuria,http://purl.obolibrary.org/obo/DOID_576,No,,Molecular Biomarker,Urine,UBERON_0001088,Gel electrophoresis|mass spectrometry,12582004,Protein,P54311,Acute sodium loading
1244,Omega-amidase NIT2,PredictiveBM,Proteinuria,http://purl.obolibrary.org/obo/DOID_576,No,,Molecular Biomarker,Urine,UBERON_0001088,Gel electrophoresis|mass spectrometry,12582004,Protein,Q9JHW2,Acute sodium loading
1245,Chloride intracellular channel protein 1,PredictiveBM,Proteinuria,http://purl.obolibrary.org/obo/DOID_576,No,,Molecular Biomarker,Urine,UBERON_0001088,Gel electrophoresis|mass spectrometry,12582004,Protein,Q9Z1Q5,Acute sodium loading
1246,Rho GDP-dissociation inhibitor 1,PredictiveBM,Proteinuria,http://purl.obolibrary.org/obo/DOID_576,No,,Molecular Biomarker,Urine,UBERON_0001088,Gel electrophoresis|mass spectrometry,12582004,Protein,Q99PT1,Acute sodium loading
1247,Phosphoglycerate mutase 1,PredictiveBM,Proteinuria,http://purl.obolibrary.org/obo/DOID_576,No,,Molecular Biomarker,Urine,UBERON_0001088,Gel electrophoresis|mass spectrometry,12582004,Protein,Q9DBJ1,Acute sodium loading
1248,Major urinary protein,PredictiveBM,Proteinuria,http://purl.obolibrary.org/obo/DOID_576,No,,Molecular Biomarker,Urine,UBERON_0001088,Gel electrophoresis|mass spectrometry,12582004,Protein,P02761,Acute sodium loading
1249,"Actin, cytoplasmic 2|Actin, alpha skeletal muscle|Actin, aortic smooth muscle|Actin, cytoplasmic 1|Alpha-actinin-4|Actin, alpha cardiac muscle 1|Alpha-actinin-1",PredictiveBM,Proteinuria,http://purl.obolibrary.org/obo/DOID_576,No,,Molecular Biomarker,Urine,UBERON_0001088,Western blot,12582004,Protein,P63259|P68136|P62738|P60711|Q9QXQ0|P68035|Q9Z1P2,Acute sodium loading
1250,Calbindin,PredictiveBM,Proteinuria,http://purl.obolibrary.org/obo/DOID_576,No,,Molecular Biomarker,Urine,UBERON_0001088,Western blot,12582004,Protein,P07171,Acute sodium loading
1251,DnaK-type chaperone (HSP-72),PredictiveBM,Proteinuria,http://purl.obolibrary.org/obo/DOID_576,No,,Molecular Biomarker,Urine,UBERON_0001088,Gel electrophoresis|mass spectrometry,12582004,Protein,,Acute sodium loading
1252,Properdin,DiagnosticBM,Proteinuria,http://purl.obolibrary.org/obo/DOID_576,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),19934084,Protein,P27918,
1253,Histidine biosynthesis trifunctional protein|Beta-hexosaminidase subunit beta,PrognosticBM,Proteinuria,http://purl.obolibrary.org/obo/DOID_576,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),21265931,Protein,P07685|P07686,
1254,Beta-2-microglobulin,DiagnosticBM,Proteinuria,http://purl.obolibrary.org/obo/DOID_576,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),23539232,Protein,P61769,
1255,"Fatty acid-binding protein, heart",DiagnosticBM,Proteinuria,http://purl.obolibrary.org/obo/DOID_576,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),23539232,Protein,P05413,
1256,Hepatitis A virus cellular receptor 1,DiagnosticBM,Proteinuria,http://purl.obolibrary.org/obo/DOID_576,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),23539232,Protein,Q96D42,
1257,C-C motif chemokine 2,DiagnosticBM,Proteinuria,http://purl.obolibrary.org/obo/DOID_576,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),23539232,Protein,P13500,
1258,Protein O-GlcNAcase,DiagnosticBM,Proteinuria,http://purl.obolibrary.org/obo/DOID_576,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),23539232,Protein,O60502,
1259,Neutrophil gelatinase-associated lipocalin,DiagnosticBM,Proteinuria,http://purl.obolibrary.org/obo/DOID_576,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),23539232,Protein,P80188,
1260,Fibrinogen beta chain,DiagnosticBM,Pulmonary embolism,http://purl.obolibrary.org/obo/DOID_9477,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),12893031,Protein,P02675,
1261,UPF0145 protein BT9727_3206,DiagnosticBM,Renal carcinoma,http://purl.obolibrary.org/obo/DOID_4451,No,,Molecular Biomarker,Urine,UBERON_0001088,Western blot,20375178,Protein,Q6HFZ7,
1262,Aquaporin-1,DiagnosticBM,Renal carcinoma,http://purl.obolibrary.org/obo/DOID_4451,No,,Molecular Biomarker,Urine,UBERON_0001088,Western blot,20375178,Protein,P29972,
1263,Hepatitis A virus cellular receptor 1,DiagnosticBM,Renal cell carcinoma,http://purl.obolibrary.org/obo/DOID_4450,No,,Molecular Biomarker,Urine,UBERON_0001088,Western blot|enzyme linked immunosorbent assay (ELISA),15744000,Protein,Q96D42,
1264,14-3-3 protein beta/alpha,DiagnosticBM,Renal cell carcinoma,http://purl.obolibrary.org/obo/DOID_4450,No,,Molecular Biomarker,Urine,UBERON_0001088,Western blot,21553213,Protein,P31946,
1265,Aquaporin-1,PrognosticBM,Renal cell carcinoma,http://purl.obolibrary.org/obo/DOID_4450,No,,Molecular Biomarker,Urine,UBERON_0001088,Western blot,24239027,Protein,P29972,
1266,Perilipin-2,DiagnosticBM,Renal cell carcinoma,http://purl.obolibrary.org/obo/DOID_4450,No,,Molecular Biomarker,Urine,UBERON_0001088,Western blot,24239027,Protein,Q99541,
1267,Extracellular Matrix Metalloproteinase Inducer (EMMPRIN),DiagnosticBM,Renal cell carcinoma,http://purl.obolibrary.org/obo/DOID_4450,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry,23511837,Protein,,
1268,Matrix metalloproteinase-9,DiagnosticBM,Renal cell carcinoma,http://purl.obolibrary.org/obo/DOID_4450,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry,23511837,Protein,P14780,
1269,Ceruloplasmin,DiagnosticBM,Renal cell carcinoma,http://purl.obolibrary.org/obo/DOID_4450,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry,23511837,Protein,P00450,
1270,Podocalyxin,DiagnosticBM,Renal cell carcinoma,http://purl.obolibrary.org/obo/DOID_4450,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry,23511837,Protein,O00592,
1271,Dickkopf-related protein 4,DiagnosticBM,Renal cell carcinoma,http://purl.obolibrary.org/obo/DOID_4450,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry,23511837,Protein,Q9UBT3,
1272,Carbonic anhydrase 9,DiagnosticBM,Renal cell carcinoma,http://purl.obolibrary.org/obo/DOID_4450,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry,23511837,Protein,Q16790,
1273,Aquaporin-1,DiagnosticBM,Renal cell carcinoma,http://purl.obolibrary.org/obo/DOID_4450,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry,23511837,Protein,P29972,
1274,Neprilysin,DiagnosticBM,Renal cell carcinoma,http://purl.obolibrary.org/obo/DOID_4450,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry,23511837,Protein,P08473,
1275,Dipeptidase 1,DiagnosticBM,Renal cell carcinoma,http://purl.obolibrary.org/obo/DOID_4450,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry,23511837,Protein,P16444,
1276,Syntenin-1,DiagnosticBM,Renal cell carcinoma,http://purl.obolibrary.org/obo/DOID_4450,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry,23511837,Protein,O00560,
1277,Heat shock protein beta-1,DiagnosticBM,Renal clear cell carcinoma,http://purl.obolibrary.org/obo/DOID_4467,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry,24504108,Protein,P04792,
1278,Aquaporin-2,DiagnosticBM,Renal tubulo-interstitial diseases,http://ns.ontoforce.com/datasets/icd10/N10-N16,No,,Molecular Biomarker,Urine,UBERON_0001088,Western blot,22859744,Protein,P41181,
1279,Putative uncharacterized protein,DiagnosticBM,Renal tubulo-interstitial diseases,http://ns.ontoforce.com/datasets/icd10/N10-N16,No,,Molecular Biomarker,Urine,UBERON_0001088,Gel electrophoresis|mass spectrometry,21446987,Protein,Q3UMV5,
1280,Heme oxygenase 1,PrognosticBM,Renal tubulo-interstitial diseases,http://ns.ontoforce.com/datasets/icd10/N10-N16,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),21502755,Protein,P09601,
1281,Transforming growth factor beta-1,DiagnosticBM,Renal tubulo-interstitial diseases,http://ns.ontoforce.com/datasets/icd10/N10-N16,No,,Molecular Biomarker,Urine,UBERON_0001088,Western blot,22859744,Protein,P01137,
1282,Neural cell adhesion molecule L1,DiagnosticBM,Renal tubulo-interstitial diseases,http://ns.ontoforce.com/datasets/icd10/N10-N16,No,,Molecular Biomarker,Urine,UBERON_0001088,Western blot,22859744,Protein,P32004,
1283,Neutrophil gelatinase-associated lipocalin,DiagnosticBM,Renovascular hypertension,http://purl.obolibrary.org/obo/DOID_1591,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),22923545,Protein,P80188,
1284,Collagen alpha-1(VII) chain,DiagnosticBM,Rheumatoid vasculitis with rheumatoid arthritis,http://ns.ontoforce.com/datasets/icd10/M05.2,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),20980286,Protein,Q02388,
1285,Tumor necrosis factor receptor superfamily member 1A,DiagnosticBM,Rheumatoid vasculitis with rheumatoid arthritis,http://ns.ontoforce.com/datasets/icd10/M05.2,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),20525836,Protein,P25118,
1286,Collagen alpha-1(II) chain,DiagnosticBM,Rheumatoid vasculitis with rheumatoid arthritis,http://ns.ontoforce.com/datasets/icd10/M05.2,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),20525836,Protein,P02458,
1287,Collagen alpha-1(III) chain,DiagnosticBM,Scar conditions and fibrosis of skin,http://ns.ontoforce.com/datasets/icd10/L90.5,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),21447148,Protein,P08121,
1288,C-C motif chemokine 2,DiagnosticBM,Schistosomiasis,http://purl.obolibrary.org/obo/DOID_1395,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),24265821,Protein,P13500,
1289,Neutrophil gelatinase-associated lipocalin,DiagnosticBM,Sepsis due to Enterococcus,http://ns.ontoforce.com/datasets/icd10/A41.81,No,,Molecular Biomarker,Urine,UBERON_0001088,Western blot,20496473,Protein,P80188,
1290,Transforming growth factor beta-1,DiagnosticBM,Sickle Cell Nephropathy,http://ns.ontoforce.com/datasets/nci/C123203,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),21107986,Protein,P01137,
1291,Hepatitis A virus cellular receptor 1,DiagnosticBM,Sickle Cell Nephropathy,http://ns.ontoforce.com/datasets/nci/C123203,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),21630304,Protein,Q96D42,
1292,Protein O-GlcNAcase,DiagnosticBM,Sickle Cell Nephropathy,http://ns.ontoforce.com/datasets/nci/C123203,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),21630304,Protein,O60502,
1293,Vitamin D-binding protein,PredictiveBM,Systemic inflammatory response syndrome (SIRS) of non-infectious origin with acute organ dysfunction,http://ns.ontoforce.com/datasets/icd10/R65.11,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),23454726,Protein,P02774,Elective orthopaedic surgery
1294,Neutrophil gelatinase-associated lipocalin,DiagnosticBM,Systemic inflammatory response syndrome (SIRS) of non-infectious origin with acute organ dysfunction,http://ns.ontoforce.com/datasets/icd10/R65.11,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),24239146,Protein,P80188,
1295,Intercellular adhesion molecule 1,DiagnosticBM,Systemic lupus erythematosus (SLE),http://ns.ontoforce.com/datasets/icd10/M32,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),22324942,Protein,P05362,
1296,Vascular cell adhesion protein 1,DiagnosticBM,Systemic lupus erythematosus (SLE),http://ns.ontoforce.com/datasets/icd10/M32,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),22324942,Protein,P19320,
1297,C-C motif chemokine 2,PrognosticBM,Systemic lupus erythematosus (SLE),http://ns.ontoforce.com/datasets/icd10/M32,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),22857869,Protein,P13500,
1298,C-C motif chemokine 2,DiagnosticBM,Systemic lupus erythematosus (SLE),http://ns.ontoforce.com/datasets/icd10/M32,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),22942263,Protein,P13500,
1299,C-C motif chemokine 2,DiagnosticBM,Systemic lupus erythematosus (SLE),http://ns.ontoforce.com/datasets/icd10/M32,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),22857869,Protein,P13500,
1300,N-glycosylase/DNA lyase,PredictiveBM,"Toxic nephropathy, not elsewhere classified",http://ns.ontoforce.com/datasets/icd10/N14.4,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),22757673,Protein,O70249,Exposed to radon gas
1301,Mycobacterium tuberculosis Rv1681 protein,DiagnosticBM,Tuberculosis of lung,http://ns.ontoforce.com/datasets/icd10/A15.0,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry,23390284,Protein,,
1302,C-C motif chemokine 2,DiagnosticBM,Tubulo-interstitial nephropathy in systemic lupus erythematosus,http://ns.ontoforce.com/datasets/icd10/M32.15,Yes,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),21993584,Protein,P13500,
1303,Hepcidin,DiagnosticBM,Tubulo-interstitial nephropathy in systemic lupus erythematosus,http://ns.ontoforce.com/datasets/icd10/M32.15,Yes,,Molecular Biomarker,Urine,UBERON_0001088,Immunoassay,21993584,Protein,P81172,
1304,"Fatty acid-binding protein, liver",DiagnosticBM,Tubulo-interstitial nephropathy in systemic lupus erythematosus,http://ns.ontoforce.com/datasets/icd10/M32.15,Yes,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),21993584,Protein,P07148,
1305,Alpha-1-acid glycoprotein 1,DiagnosticBM,Type 1 diabetes mellitus,http://purl.obolibrary.org/obo/DOID_9744,Yes,,Molecular Biomarker,Urine,UBERON_0001088,Gel electrophoresis|liquid chromatography-mass spectrometry,22238279,Protein,P02763,
1306,Clusterin-like protein 1,DiagnosticBM,Type 1 diabetes mellitus,http://purl.obolibrary.org/obo/DOID_9744,Yes,,Molecular Biomarker,Urine,UBERON_0001088,Gel electrophoresis|liquid chromatography-mass spectrometry,22238279,Protein,Q15846,
1307,Granulins,DiagnosticBM,Type 1 diabetes mellitus,http://purl.obolibrary.org/obo/DOID_9744,Yes,,Molecular Biomarker,Urine,UBERON_0001088,Gel electrophoresis|liquid chromatography-mass spectrometry,22238279,Protein,P28799,
1308,Uromodulin,DiagnosticBM,Type 1 diabetes mellitus,http://purl.obolibrary.org/obo/DOID_9744,Yes,,Molecular Biomarker,Urine,UBERON_0001088,Gel electrophoresis|liquid chromatography-mass spectrometry,22238279,Protein,P07911,
1309,Interleukin-6,RiskBM,Type 1 diabetes mellitus,http://purl.obolibrary.org/obo/DOID_9744,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),22416821,Protein,P05231,
1310,Interleukin-8,RiskBM,Type 1 diabetes mellitus,http://purl.obolibrary.org/obo/DOID_9744,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),22416821,Protein,P10145,
1311,Platelet-derived growth factor subunit A,RiskBM,Type 1 diabetes mellitus,http://purl.obolibrary.org/obo/DOID_9744,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),22416821,Protein,P04085,
1312,C-C motif chemokine 5,RiskBM,Type 1 diabetes mellitus,http://purl.obolibrary.org/obo/DOID_9744,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),22416821,Protein,P13501,
1313,Transforming growth factor beta-1,PrognosticBM,Type 1 diabetes mellitus,http://purl.obolibrary.org/obo/DOID_9744,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),15270783,Protein,P01137,
1314,72 kDa type IV collagenase,PrognosticBM,Type 1 diabetes mellitus,http://purl.obolibrary.org/obo/DOID_9744,No,,Molecular Biomarker,Urine,UBERON_0001088,Fluoroimmunoassay,17563344,Protein,P08253,
